Species,Name,NCBI_Accession,NCBI_Assembly,URL
Enterococcus,AUS2002,GCF_907163315.1,AUS2002,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_907163315.1/
Enterococcus,Com15,GCF_004006255.1,ASM400625v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004006255.1/
Enterococcus,DSM_20477,GCF_029023785.1,ASM2902378v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_029023785.1/
Enterococcus,Dallas_144_1,GCF_016415405.1,ASM1641540v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016415405.1/
Enterococcus,E1,GCF_001886635.1,ASM188663v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001886635.1/
Enterococcus,EF9953,GCF_038665115.1,ASM3866511v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_038665115.1/
Enterococcus,ISMMS_VRE_1,GCF_001720945.1,ASM172094v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001720945.1/
Enterococcus,JHP80,GCF_026073415.1,ASM2607341v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_026073415.1/
Enterococcus,NY11066,GCF_022699565.1,ASM2269956v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_022699565.1/
Enterococcus,SRR24,GCF_009734005.1,ASM973400v2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_009734005.1/
Enterococcus,UCH1,GCF_023204955.1,ASM2320495v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_023204955.1/
Enterococcus,VRE,GCF_009697285.1,ASM969728v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_009697285.1/
Enterococcus,VRE_04,GCF_052055545.1,ASM5205554v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052055545.1/
Enterococcus,Dallas_100_1,GCF_016415285.1,ASM1641528v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016415285.1/
Klebsiella,3347689I,GCF_018128465.1,ASM1812846v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_018128465.1/
Klebsiella,5890,GCF_030845935.1,ASM3084593v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_030845935.1/
Klebsiella,Bio45,GCF_022699345.1,ASM2269934v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_022699345.1/
Klebsiella,CRKP-C235,GCF_053128315.1,ASM5312831v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_053128315.1/
Klebsiella,DD02425,GCF_050156185.1,ASM5015618v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050156185.1/
Klebsiella,HS11286,GCF_000240185.1,ASM24018v2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000240185.1/
Klebsiella,KP18-2050,GCF_019823835.1,ASM1982383v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_019823835.1/
Klebsiella,KP18-2073,GCF_019823935.1,ASM1982393v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_019823935.1/
Klebsiella,KP2010,GCF_043187905.1,ASM4318790v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_043187905.1/
Klebsiella,QD23,GCF_011045595.1,ASM1104559v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_011045595.1/
Klebsiella,TH12908,GCF_020911805.1,ASM2091180v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_020911805.1/
Klebsiella,XHKPN391,GCF_024346895.1,ASM2434689v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_024346895.1/
Klebsiella,Bio3,GCF_022749215.1,ASM2274921v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_022749215.1/
Klebsiella,Bio73,GCF_022699305.1,ASM2269930v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_022699305.1/
